							GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GK	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP	GP
s a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s o	-0.694	-1.146	0.41289751045783046	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
s k ʁ a j	-0.48	No change	s k ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s k ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s k ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s n a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s n o	-0.694	-1.146	0.5209876607065322	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s n a j	-0.615	No change	s n a j	-0.615	-1.23	0.47901233929346765	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1
s p ʁ a j	-0.48	No change	s p ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s p ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s p ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s t ʁ a j	-0.48	No change	s t ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
s t ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s t ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
s v a j	-0.359	No change	s v a j	-0.359	-0.718	0.6053959859103208	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1
s v a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	s v o	-0.694	-1.146	0.3946040140896792	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
t ʁ a j	-0.48	No change	t ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
t ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	t ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
v ʁ a j	-0.48	No change	v ʁ a j	-0.48	-0.96	0.5463664026742796	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1
v ʁ a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	v ʁ o	-0.694	-1.146	0.45363359732572034	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
z a j	-0.397	No change	z a j	-0.397	-0.794	0.5871024895421696	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0
z a j	-0.452	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	z o	-0.694	-1.146	0.41289751045783046	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
o s k ʁ a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	o s k ʁ o	0	0	0.8005922431513316	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
o s k ʁ a l	-0.695	No change	o s k ʁ a l	-0.695	-1.39	0.1994077568486685	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1
d e ʁ n a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	d e ʁ n o	0	0	0.8402380030563309	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d e ʁ n a l	-0.83	No change	d e ʁ n a l	-0.83	-1.66	0.15976199694366908	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	1
ʒ i s t a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ʒ i s t o	0	0	0.7947828098950485	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ʒ i s t a l	-0.677	No change	ʒ i s t a l	-0.677	-1.354	0.20521719010495165	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1
ɡ u v a l	0	Delete 1 segment at -2, Mutate the segment(s) at last nucleus to [o]	ɡ u v o	0	0	0.7345828406761663	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ u v a l	-0.509	No change	ɡ u v a l	-0.509	-1.018	0.2654171593238337	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0
