base	derivative	probability	sublexicon	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	[-syllabic]$	[+syllabic]$	[-sonorant,-continuant]$	[-sonorant,+continuant]$	[+sonorant,-continuant]$	[+sonorant,+continuant]$	a$	o$	i$	e$	j e$	[-syllabic,+high] e$	ɛ̃$	õ$	ã$	[+nasal]$	j ɛ̃$	[-syllabic,+high] ɛ̃$	œ ʁ$	t œ ʁ$	ʁ$	a ʁ$	F: Ident [continuant]	F: Ident [voice]	F: Ident [nasal]
m õ t ʁ œ ʁ	m õ t ʁ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d o n œ ʁ	d o n ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m a k i j œ ʁ	m a k i j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ɡ e t œ ʁ	ɡ e t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a ʁ o z œ ʁ	a ʁ o z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a ʁ n a k œ ʁ	a ʁ n a k ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b u f œ ʁ	b u f ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ e v œ ʁ	ʁ e v ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o t o s t o p œ ʁ	o t o s t o p ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p a ʁ k ə t œ ʁ	p a ʁ k ə t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v ã d œ ʁ	v ã d ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p ʁ e t œ ʁ	p ʁ e t ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ʁ j œ ʁ	ʁ j ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e t ʁ ã ɡ l œ ʁ	e t ʁ ã ɡ l ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k o z œ ʁ	k o z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f ʁ e z œ ʁ	f ʁ e z ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b e ɲ œ ʁ	b e ɲ ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b ʁ a k œ ʁ	b ʁ a k ø z	1	Mutate the segment(s) at last nucleus to [ø], Mutate the segment(s) at -2 to [+coronal,+anterior,-distributed,+strident,-dorsal,0high,0low,0front,0back]	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
