base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
s e n d r	0	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [i g] at -1	s e n d r i g	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [k] at -1	s e n d r k	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [g] at -1	s e n d r g	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [e] at -1	s e n d r e	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [w] at -1	s e n d r w	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at -4 to [-high,+glide]	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Insert [o j] at -1	s e n d r o j	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Delete 4 segments at 13,15,17,19	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	s e n d r	0	0	0.055553499621989806	0	0	0	0	0	0
s e n d r	0	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	s e d r	-7.314	-7.314	0.00003700680418314972	0	0	0	1	0	0
n o r r	0	Mutate the segment(s) at last nucleus to [+glide]	n q r r	0	0	0.9985448333312348	0	1	1	0	0	1
n o r r	-6.617	Insert [k] at -1	n o r r k	0	-6.617	0.0013354910507940617	0	1	1	0	0	0
n o r r	-11.091	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	n o r	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
n o r r	-11.091	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	n o r r j	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
n o r r	-11.091	Insert [w] at -1	n o r r w	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
n o r r	-11.091	Insert [e] at -1	n o r r e	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
n o r r	-11.092	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	n o r r g	0	-11.092	0.000015211539713844113	0	1	1	0	0	0
n o r r	-11.094	Insert [g] at -1	n o r r g	0	-11.094	0.000015181147037223957	0	1	1	0	0	0
n o r r	-11.17	Insert [o j] at -1	n o r r o j	0	-11.17	0.000014070133108260097	0	1	1	0	0	0
n o r r	-11.17	Insert [i g] at -1	n o r r i g	0	-11.17	0.000014070133108260097	0	1	1	0	0	0
