base	base.harmony	change	derivative	derivative.harmony	harmony.sum	probability	e . .?$	o . .?$	r r$	e . .?$	o . .?$	r r$
d e b r	-6.91	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d i b r	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.91	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	d e b r j	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.91	Delete 4 segments at 13,15,17,19	d e b r	0	-6.91	0.0001635796451911041	1	0	0	1	0	0
d e b r	-6.91	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	d e r	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.91	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e b r g	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.91	Insert [e] at -1	d e b r e	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.91	Insert [w] at -1	d e b r w	0	-6.91	0.0001635796451911041	1	0	0	0	0	0
d e b r	-6.911	Insert [g] at -1	d e b r g	0	-6.911	0.00016341614730847905	1	0	0	0	0	0
d e b r	-6.91	Mutate the segment(s) at -4 to [-high,+glide]	d e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
d e b r	-6.91	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	d e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
d e b r	-6.91	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	d e b r	-6.91	-13.82	1.6321286633556162e-7	1	0	0	1	0	0
d e b r	-6.91	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	d e p r	-7.158	-14.068000000000001	1.2736478311586414e-7	1	0	0	1	0	0
b o l d	0	Mutate the segment(s) at last nucleus to [+glide]	b q l d	0	0	0.8794839221638444	0	1	0	0	0	0
b o l d	-2.094	Insert [k] at -1	b o l d k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
b o l d	-6.518	Insert [o j] at -1	b o l d o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
b o l d	-6.518	Insert [i g] at -1	b o l d i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
b o l d	-6.519	Mutate the segment(s) at last nucleus to [+high]	b u l d	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
b o l d	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	b o d	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o l d	-6.613	Insert [w] at -1	b o l d w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o l d	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b u l g	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o l d	-6.613	Insert [e] at -1	b o l d e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o l d	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b o l d j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
b o l d	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b o l g g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
b o l d	-6.615	Insert [g] at -1	b o l d g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
b o l d	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	b o l d	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
b o l d	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	b o l d	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
b o l d	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	b o l d	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o l d	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	b o l d	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o l d	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	b o l g	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
b o l d	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	b o l d	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
b o l d	-6.613	Delete 4 segments at 13,15,17,19	b o l d	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
l o r r	0	Mutate the segment(s) at last nucleus to [+glide]	l q r r	0	0	0.9985448333312348	0	1	1	0	0	1
l o r r	-6.617	Insert [k] at -1	l o r r k	0	-6.617	0.0013354910507940617	0	1	1	0	0	0
l o r r	-11.091	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	l o r	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
l o r r	-11.091	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l o r r j	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
l o r r	-11.091	Insert [w] at -1	l o r r w	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
l o r r	-11.091	Insert [e] at -1	l o r r e	0	-11.091	0.00001522675886186373	0	1	1	0	0	0
l o r r	-11.092	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l o r r g	0	-11.092	0.000015211539713844113	0	1	1	0	0	0
l o r r	-11.094	Insert [g] at -1	l o r r g	0	-11.094	0.000015181147037223957	0	1	1	0	0	0
l o r r	-11.17	Insert [o j] at -1	l o r r o j	0	-11.17	0.000014070133108260097	0	1	1	0	0	0
l o r r	-11.17	Insert [i g] at -1	l o r r i g	0	-11.17	0.000014070133108260097	0	1	1	0	0	0
l o r r	-11.091	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l u r r	-4.829	-15.919999999999998	1.2173050312000293e-7	0	1	1	0	0	1
l o r r	-11.171	Mutate the segment(s) at last nucleus to [+high]	l u r r	-4.829	-16	1.123714172839441e-7	0	1	1	0	0	1
l o r r	-11.092	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	l o r r	-11.01	-22.102	2.5153065970275984e-10	0	1	1	0	1	1
l o r r	-11.091	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	l o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
l o r r	-11.091	Mutate the segment(s) at -4 to [-high,+glide]	l o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
l o r r	-11.091	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	l o r r	-11.091	-22.182	2.3219206358903222e-10	0	1	1	0	1	1
l o r r	-11.17	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	l o r r	-11.17	-22.34	1.9825714287030644e-10	0	1	1	0	1	1
l o r r	-11.17	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	l o r r	-11.17	-22.34	1.9825714287030644e-10	0	1	1	0	1	1
l o r r	-11.091	Delete 4 segments at 13,15,17,19	l o r r	-11.329	-22.42	1.8301440937149077e-10	0	1	1	0	1	1
k o l b	0	Mutate the segment(s) at last nucleus to [+glide]	k q l b	0	0	0.8794839221638444	0	1	0	0	0	0
k o l b	-2.094	Insert [k] at -1	k o l b k	0	-2.094	0.10834659302823652	0	1	0	0	0	0
k o l b	-6.518	Insert [o j] at -1	k o l b o j	0	-6.518	0.001298663012539704	0	1	0	0	0	0
k o l b	-6.518	Insert [i g] at -1	k o l b i g	0	-6.518	0.001298663012539704	0	1	0	0	0	0
k o l b	-6.519	Mutate the segment(s) at last nucleus to [+high]	k u l b	0	-6.519	0.0012973649986422794	0	1	0	0	0	0
k o l b	-6.613	Delete 1 segment at 5, Mutate the segment(s) at 3 to [-low,+front,+tense]	k o b	0	-6.613	0.001180968994598583	0	1	0	0	0	0
k o l b	-6.613	Insert [w] at -1	k o l b w	0	-6.613	0.001180968994598583	0	1	0	0	0	0
k o l b	-6.613	Mutate the segment(s) at last nucleus to [+high], Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k u l b	0	-6.613	0.001180968994598583	0	1	0	0	0	0
k o l b	-6.613	Insert [e] at -1	k o l b e	0	-6.613	0.001180968994598583	0	1	0	0	0	0
k o l b	-6.613	Insert [j] at -1, Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	k o l b j	0	-6.613	0.001180968994598583	0	1	0	0	0	0
k o l b	-6.614	Insert [g] at -1, Mutate the segment(s) at -2 to [-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k o l b g	0	-6.614	0.001179788615891704	0	1	0	0	0	0
k o l b	-6.615	Insert [g] at -1	k o l b g	0	-6.615	0.0011786094169735364	0	1	0	0	0	0
k o l b	-6.518	Mutate the segment(s) at -2 to [-continuant,-delayed_release,+voice]	k o l b	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
k o l b	-6.518	Mutate the segment(s) at -2 to [+syllabic,-labial,-glide]	k o l b	-6.518	-13.036	0.0000019176309852137425	0	1	0	0	1	0
k o l b	-6.613	Mutate the segment(s) at -4 to [+syllabic,-labial,-glide]	k o l b	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
k o l b	-6.613	Mutate the segment(s) at -4 to [-high,+glide]	k o l b	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
k o l b	-6.613	Mutate the segment(s) at -2 to [-continuant,-delayed_release,-coronal,0anterior,0distributed,0strident,+dorsal,+high,-low]	k o l b	-6.613	-13.226	0.0000015858024587553104	0	1	0	0	1	0
k o l b	-6.614	Mutate the segment(s) at 3 to [-low,+front,+tense], Mutate the segment(s) at 5 to [-voice]	k o l b	-6.657	-13.271	0.0000015160231572548167	0	1	0	0	1	0
k o l b	-6.613	Delete 4 segments at 13,15,17,19	k o l b	-6.708	-13.321000000000002	0.0000014420858354052529	0	1	0	0	1	0
